,nodes,edges,pos
0,0,"[510, 3564, 3758, 4817, 994]","[0.2883763723124485, 0.6445120414666459]"
1,1,"[965, 3435, 4183, 1129, 3293, 3449, 815, 980, 1872, 3882]","[0.8400971572831493, 0.2476703060597597]"
2,2,"[4110, 61, 3780, 1439, 4350, 1493, 2278, 1038, 1004, 2111, 2759]","[0.651055544595908, 0.6459095152098511]"
3,3,"[1818, 1078, 1102, 2158, 1897, 729, 257, 484, 1497, 1584, 1863, 3115, 3446, 3716, 4976]","[0.7907605391798769, 0.5384794086885404]"
4,4,"[3595, 3300, 3941, 376, 556, 202, 525, 4994, 3139, 716, 1122, 1231, 1304, 1512, 1964, 1986, 2606, 2619, 2877, 3815]","[0.8133116007075883, 0.6901602219810204]"
5,5,"[2422, 1421, 2779, 3937, 2984, 3323, 3061, 3910, 3944, 4197, 4936]","[0.3115365756873806, 0.38154699643853673]"
6,6,"[2804, 4129, 1809, 4135, 167, 2000, 2925, 913, 3388, 4699, 2817, 269, 95, 133, 1082, 2459, 2823, 3304, 3762]","[0.804790086762975, 0.7786960293717874]"
7,7,"[744, 1399, 2064, 270, 1210, 2202, 4689, 1404, 91, 746, 797, 1511, 1753, 1774, 2534, 2590, 2867, 2910, 3674, 4365]","[0.2469490896583203, 0.2913854467761353]"
8,8,"[1040, 203, 4815, 620, 3801, 2049, 3846]","[0.06462531165634, 0.010143528757885378]"
9,9,"[273, 4291, 2329, 4271, 2273, 1579, 845, 938, 1098, 1852, 2340, 2651, 4724]","[0.1641246249786411, 0.6148287860982073]"
10,10,"[4633, 1769, 2094, 1057, 3160, 1636, 4437, 1485, 1586, 2417, 3508]","[0.699978395814976, 0.35750049121239114]"
11,11,"[21, 2061, 1832, 2843, 2623, 311, 3105, 2687, 375, 659, 691, 781, 898, 1509, 1568, 1732, 1835, 3620, 3923, 4390]","[0.9675055571259097, 0.3100428471901875]"
12,12,"[4038, 2052, 1639, 498, 2042, 1362, 4800, 3089, 3172, 368, 737, 900, 905, 1699, 2684, 2912, 3024, 3478, 3618, 4003]","[0.5527722109844021, 0.8529490847239458]"
13,13,"[268, 1289, 297, 1175, 3156, 4727]","[0.7859671934374933, 0.844476682075049]"
14,14,"[2897, 2450, 45, 239, 2380, 3725, 2097, 259, 305, 518, 927, 1087, 1098, 1489, 1916, 2386, 2832, 3885, 4376, 4724]","[0.129033613599276, 0.6553168597092808]"
15,15,"[2429, 4160, 3944, 4380, 1305, 3767, 480, 1767, 2279, 3287, 3520]","[0.336656047236785, 0.41140418476164975]"
16,16,"[4875, 4292, 4690, 3504, 4002, 2062, 97, 1275, 1346, 1482, 1731, 4904]","[0.40558540261043785, 0.18251564171600831]"
17,17,"[4841, 4725, 3298, 300, 1997, 1288, 1985, 2120, 2802, 3424, 4201, 4423]","[0.5375844727353885, 0.15349443982845035]"
18,18,"[3731, 439, 1364, 3968, 56, 600, 1834, 2553, 4037]","[0.38768845962674625, 0.02490399181324965]"
19,19,"[2537, 2653, 3789, 632, 1199, 1245, 3687, 4751, 4782]","[0.8463012247421179, 0.1436255034897892]"
20,20,"[1464, 3066, 4341, 2694]","[0.5181490086386615, 0.003669759096957992]"
21,21,"[11, 4390, 1080, 375, 3105, 659, 311, 490, 1347, 1732, 1832, 2061, 2687, 2843]","[0.9745817945206713, 0.29355366785578385]"
22,22,"[4140, 1023, 4818, 4915, 3978, 618, 1558, 377, 751, 932, 1113, 2261, 3637, 3685, 3732, 3935, 4306, 4707]","[0.2751226106601182, 0.8512236638947407]"
23,23,"[2305, 4930, 4912, 697, 4521, 947, 255, 1211, 1537, 2253, 2573, 2729, 3664, 3712, 4132, 4969]","[0.4531241093028874, 0.805856363091109]"
24,24,"[4497, 4534, 514, 517, 4342, 2501, 921, 1092, 1709, 1776, 1804, 1938, 1953, 3465, 3535, 3961]","[0.7865162249560305, 0.20052493808235328]"
25,25,"[3702, 3999, 113, 3406, 1473, 881, 2890, 4496, 1488, 3348, 662, 709, 1880]","[0.26821829071967107, 0.49894653948410006]"
26,26,"[3093, 4954, 4244, 838, 4339, 1951, 1272, 1490, 3473, 4844]","[0.5132961663346796, 0.602587086230695]"
27,27,"[907, 3692, 1757, 1635, 3414, 3597, 140, 864, 1573, 2301, 2515, 2581, 2924, 4468]","[0.5710945488658703, 0.6607669204815857]"
28,28,"[4613, 895, 3654, 2511, 2312, 2710, 3272]","[0.9354065027055136, 0.5406410467650509]"
29,29,"[3307, 4472, 207, 1500, 1906, 2556, 280, 1551, 2191, 3171, 3570, 3783, 4790, 4793]","[0.6958253047549365, 0.7279819524746605]"
30,30,"[188, 1520, 4609, 4706, 4871, 3480, 2117, 530, 1756, 1683, 2443, 3031, 3754]","[0.7310202755518822, 0.7463425267755833]"
31,31,"[1379, 4058, 3459, 2477, 2030, 4758, 2266, 1221, 1280, 2102, 2108, 2697, 3423, 4014]","[0.6678079389627495, 0.20126834201583488]"
32,32,"[1123, 3040, 1447, 4543, 2562, 1505, 623, 2471, 550, 2315, 2664, 2711, 2891, 2967, 3346, 4808]","[0.036698469839777315, 0.2665951624060803]"
33,33,"[3646, 366, 1930, 4377, 3244, 2772, 4010, 1291, 1365, 1583, 2784, 3120, 4267, 4643]","[0.42582987446873344, 0.9373940888884201]"
34,34,"[2286, 2031, 4336, 3990, 710, 1966, 2574, 4146, 4849]","[0.13302081448660164, 0.38423100274139754]"
